,result,eco,move_no,avg_rating
1121,1,100,57,1547
1122,-1,120,122,1579
1123,1,255,51,1441
1124,1,302,69,1129
1125,1,200,45,1725
1126,1,226,47,1825
1127,1,241,89,1571
1128,-1,101,70,1244
1129,1,200,55,1370
1130,-1,220,80,1244
1131,-1,320,134,1245
1132,-1,241,36,1453
1133,-1,242,80,1611
1134,1,248,93,1577
1135,1,240,27,1311
1136,-1,240,28,1429
1137,1,221,51,1398
1138,-1,220,34,1451
1139,1,268,71,1252
1140,1,200,125,1373
1141,1,220,57,1200
1142,1,400,81,1701
1143,1,302,67,1578
1144,-1,132,64,1401
1145,-1,220,52,1570
1146,1,200,25,1738
1147,1,222,45,1394
1148,-1,306,32,1347
1149,0,101,107,1513
1150,1,240,117,1396
1151,1,223,65,1514
1152,1,100,87,1615
1153,-1,101,116,1429
1154,1,101,115,1456
1155,1,0,95,1511
1156,1,35,57,1375
1157,-1,242,30,1578
1158,-1,239,56,1663
1159,-1,222,80,1394
1160,1,260,79,1448
1161,-1,132,60,1609
1162,1,146,51,1632
1163,-1,264,20,1363
1164,-1,120,80,1662
1165,1,265,47,1509
1166,-1,101,124,1279
1167,-1,262,60,1334
1168,1,121,23,1330
1169,1,10,33,1492
1170,-1,120,54,1473
1171,-1,110,64,1180
1172,-1,115,80,1484
1173,-1,100,58,1541
1174,1,253,63,1656
1175,-1,262,48,1517
1176,-1,100,80,1516
1177,1,200,53,1548
1178,1,244,67,1500
1179,0,225,125,1500
1180,0,220,112,1762
1181,1,101,105,1594
1182,-1,200,38,1518
1183,-1,120,70,1199
1184,-1,255,112,1613
1185,1,200,37,1480
1186,1,121,47,1524
1187,1,10,81,1534
1188,1,220,95,1324
1189,1,320,57,1470
1190,1,101,99,1511
1191,-1,244,58,1498
1192,1,122,73,1527
1193,-1,6,62,1436
1194,1,302,55,1588
1195,1,120,57,1385
